# y+ ()       
# Time        	patch         	min           	max           	average       
82.1          	bottomWall	5.030024e-01	1.938348e+00	6.450732e-01
82.1          	topWall	5.106427e-01	1.512825e+00	6.429025e-01
82.2          	bottomWall	5.029040e-01	1.773752e+00	6.451057e-01
82.2          	topWall	5.118249e-01	1.559728e+00	6.431873e-01
82.3          	bottomWall	4.942033e-01	1.585894e+00	6.455647e-01
82.3          	topWall	5.107704e-01	1.634819e+00	6.430695e-01
82.4          	bottomWall	4.835330e-01	1.485663e+00	6.458194e-01
82.4          	topWall	5.095249e-01	1.527121e+00	6.430767e-01
82.5          	bottomWall	4.719224e-01	1.555617e+00	6.462934e-01
82.5          	topWall	5.076299e-01	1.685447e+00	6.431932e-01
82.6          	bottomWall	4.625367e-01	1.420508e+00	6.463663e-01
82.6          	topWall	5.064722e-01	1.764131e+00	6.430524e-01
82.7          	bottomWall	4.305689e-01	1.737426e+00	6.467807e-01
82.7          	topWall	5.063291e-01	1.489523e+00	6.427839e-01
82.8          	bottomWall	4.180462e-01	1.508430e+00	6.468839e-01
82.8          	topWall	5.041538e-01	1.479408e+00	6.427727e-01
82.9          	bottomWall	3.944555e-01	1.613177e+00	6.467029e-01
82.9          	topWall	5.052402e-01	1.570696e+00	6.426066e-01
83            	bottomWall	4.276661e-01	1.741754e+00	6.464731e-01
83            	topWall	5.120123e-01	1.578541e+00	6.424675e-01
83.1          	bottomWall	3.998018e-01	1.623979e+00	6.462870e-01
83.1          	topWall	5.091614e-01	1.453048e+00	6.421757e-01
83.2          	bottomWall	4.249617e-01	1.507053e+00	6.457308e-01
83.2          	topWall	5.110828e-01	1.699517e+00	6.420966e-01
83.3          	bottomWall	4.255599e-01	1.480285e+00	6.451552e-01
83.3          	topWall	5.182181e-01	1.578686e+00	6.420100e-01
83.4          	bottomWall	4.488668e-01	1.484124e+00	6.450334e-01
83.4          	topWall	5.175551e-01	1.589577e+00	6.421037e-01
83.5          	bottomWall	4.842917e-01	1.431163e+00	6.446179e-01
83.5          	topWall	5.143592e-01	1.720675e+00	6.421176e-01
83.6          	bottomWall	4.919403e-01	1.736232e+00	6.446235e-01
83.6          	topWall	5.161202e-01	1.493440e+00	6.420431e-01
83.7          	bottomWall	5.041268e-01	1.454758e+00	6.442929e-01
