# y+ ()       
# Time        	patch         	min           	max           	average       
13.2          	bottomWall	5.187798e-01	1.786535e+00	6.435564e-01
13.2          	topWall	4.981387e-01	1.609711e+00	6.460348e-01
13.3          	bottomWall	5.203307e-01	1.753384e+00	6.436771e-01
13.3          	topWall	5.013066e-01	1.748775e+00	6.463871e-01
13.4          	bottomWall	5.230971e-01	1.573095e+00	6.436954e-01
13.4          	topWall	4.974227e-01	1.682934e+00	6.466359e-01
13.5          	bottomWall	5.222502e-01	1.753591e+00	6.437449e-01
13.5          	topWall	4.951166e-01	1.494062e+00	6.465117e-01
13.6          	bottomWall	5.203481e-01	1.427913e+00	6.435758e-01
13.6          	topWall	5.138079e-01	1.994163e+00	6.467174e-01
13.7          	bottomWall	5.184646e-01	1.732384e+00	6.436489e-01
13.7          	topWall	5.118195e-01	1.720444e+00	6.465570e-01
13.8          	bottomWall	5.183989e-01	1.547187e+00	6.435715e-01
13.8          	topWall	5.099774e-01	1.614406e+00	6.467659e-01
13.9          	bottomWall	5.190265e-01	1.621304e+00	6.434246e-01
13.9          	topWall	5.076078e-01	1.688588e+00	6.468114e-01
14            	bottomWall	5.187229e-01	1.659132e+00	6.435287e-01
14            	topWall	5.041284e-01	1.600470e+00	6.469389e-01
14.1          	bottomWall	5.185497e-01	1.755777e+00	6.436851e-01
14.1          	topWall	5.034321e-01	1.670479e+00	6.469771e-01
14.2          	bottomWall	5.178330e-01	2.360617e+00	6.437641e-01
14.2          	topWall	5.020837e-01	1.951619e+00	6.468848e-01
14.3          	bottomWall	5.207567e-01	1.820363e+00	6.436457e-01
14.3          	topWall	5.002171e-01	1.667278e+00	6.468966e-01
14.4          	bottomWall	5.207512e-01	1.683201e+00	6.439919e-01
14.4          	topWall	4.999188e-01	1.496928e+00	6.466288e-01
14.5          	bottomWall	5.216503e-01	1.658785e+00	6.437941e-01
14.5          	topWall	4.965318e-01	1.586537e+00	6.464624e-01
14.6          	bottomWall	5.205527e-01	1.535997e+00	6.440751e-01
14.6          	topWall	4.986641e-01	1.791316e+00	6.463706e-01
14.7          	bottomWall	5.219712e-01	1.646701e+00	6.439625e-01
14.7          	topWall	4.966137e-01	1.690508e+00	6.465540e-01
14.8          	bottomWall	5.217441e-01	1.555696e+00	6.438278e-01
14.8          	topWall	4.958439e-01	1.739292e+00	6.464210e-01
14.9          	bottomWall	5.201202e-01	1.797752e+00	6.439785e-01
14.9          	topWall	4.960426e-01	1.512392e+00	6.461281e-01
15            	bottomWall	5.224232e-01	1.585399e+00	6.441196e-01
15            	topWall	3.598688e-01	1.678932e+00	6.459731e-01
15.1          	bottomWall	5.225118e-01	2.165106e+00	6.440388e-01
15.1          	topWall	5.037508e-01	1.687603e+00	6.459317e-01
15.2          	bottomWall	5.189184e-01	1.530278e+00	6.440696e-01
15.2          	topWall	5.070341e-01	1.694529e+00	6.456344e-01
15.3          	bottomWall	5.199976e-01	1.545722e+00	6.438524e-01
15.3          	topWall	5.119427e-01	1.742454e+00	6.456375e-01
15.4          	bottomWall	5.196852e-01	1.712147e+00	6.440577e-01
15.4          	topWall	5.135594e-01	1.801763e+00	6.454183e-01
15.5          	bottomWall	5.197444e-01	1.720705e+00	6.442479e-01
15.5          	topWall	5.138795e-01	1.774927e+00	6.451220e-01
15.6          	bottomWall	5.170745e-01	1.802549e+00	6.442126e-01
15.6          	topWall	5.186779e-01	1.977250e+00	6.451714e-01
15.7          	bottomWall	5.164725e-01	1.510731e+00	6.443420e-01
15.7          	topWall	5.179065e-01	1.736361e+00	6.451652e-01
15.8          	bottomWall	5.144168e-01	1.713189e+00	6.444952e-01
15.8          	topWall	5.171957e-01	1.661271e+00	6.447694e-01
15.9          	bottomWall	5.136507e-01	1.850979e+00	6.443965e-01
15.9          	topWall	5.169191e-01	1.717187e+00	6.448951e-01
16            	bottomWall	5.116572e-01	1.494173e+00	6.444851e-01
16            	topWall	5.155581e-01	1.576104e+00	6.445648e-01
16.1          	bottomWall	5.095860e-01	1.758847e+00	6.445680e-01
16.1          	topWall	5.148875e-01	1.766209e+00	6.445217e-01
16.2          	bottomWall	5.078485e-01	1.890706e+00	6.445581e-01
16.2          	topWall	5.150697e-01	1.612040e+00	6.444089e-01
16.3          	bottomWall	5.055083e-01	2.263513e+00	6.444939e-01
16.3          	topWall	5.124628e-01	1.583972e+00	6.442281e-01
16.4          	bottomWall	5.018041e-01	1.878469e+00	6.448650e-01
16.4          	topWall	5.144952e-01	1.811642e+00	6.441260e-01
16.5          	bottomWall	4.961815e-01	1.379925e+00	6.447113e-01
16.5          	topWall	5.138240e-01	1.593917e+00	6.439830e-01
16.6          	bottomWall	4.861354e-01	1.575966e+00	6.448836e-01
16.6          	topWall	5.164796e-01	1.550497e+00	6.440606e-01
16.7          	bottomWall	4.770489e-01	1.632302e+00	6.450207e-01
16.7          	topWall	5.221176e-01	2.098501e+00	6.441605e-01
16.8          	bottomWall	4.725128e-01	1.725700e+00	6.452116e-01
16.8          	topWall	5.245790e-01	1.541644e+00	6.441061e-01
16.9          	bottomWall	4.567485e-01	1.731624e+00	6.451133e-01
16.9          	topWall	5.245327e-01	1.817466e+00	6.440083e-01
17            	bottomWall	4.045853e-01	1.701609e+00	6.454512e-01
17            	topWall	5.264845e-01	1.718657e+00	6.440743e-01
17.1          	bottomWall	3.900333e-01	1.455800e+00	6.454636e-01
17.1          	topWall	5.238629e-01	1.465789e+00	6.439130e-01
17.2          	bottomWall	4.080771e-01	1.582268e+00	6.455576e-01
17.2          	topWall	5.219260e-01	1.612628e+00	6.440158e-01
17.3          	bottomWall	3.998932e-01	1.707721e+00	6.455533e-01
17.3          	topWall	5.198817e-01	1.795072e+00	6.441540e-01
17.4          	bottomWall	4.094873e-01	1.788354e+00	6.453955e-01
17.4          	topWall	5.190018e-01	1.582544e+00	6.441580e-01
17.5          	bottomWall	4.147637e-01	1.447659e+00	6.453291e-01
17.5          	topWall	5.196360e-01	1.660628e+00	6.442601e-01
17.6          	bottomWall	4.296179e-01	1.629967e+00	6.451578e-01
17.6          	topWall	5.207749e-01	1.594397e+00	6.443921e-01
17.7          	bottomWall	4.399989e-01	1.649493e+00	6.452357e-01
17.7          	topWall	5.201384e-01	1.671515e+00	6.443757e-01
17.8          	bottomWall	4.431683e-01	1.646976e+00	6.453741e-01
17.8          	topWall	5.180965e-01	1.623055e+00	6.446247e-01
17.9          	bottomWall	4.647012e-01	1.584313e+00	6.452591e-01
17.9          	topWall	5.167067e-01	1.972963e+00	6.446806e-01
18            	bottomWall	4.832229e-01	1.598941e+00	6.453044e-01
18            	topWall	5.150775e-01	1.456391e+00	6.446462e-01
18.1          	bottomWall	5.012977e-01	1.560110e+00	6.452296e-01
18.1          	topWall	5.126956e-01	1.581068e+00	6.446812e-01
18.2          	bottomWall	5.118814e-01	1.882322e+00	6.450162e-01
